DataUploaded,ProcessedBy,DatePlanted,"PlanterType
",CollectionSite,CollectionDate,Species,TagID,Condition ,Mass(g),Width(cm),Propagule Length(cm),RadicleLength(cm),PropaguleColor,RadicleColor,Float(Y/N),PartofSomething,notes,,RetiredVariables,Damage?(Y/N),DateGerminated,total length(cm)
KH,AJH,9/6/2021,SP,VBSP,6/1/2021,AVGE,1,B,2.16,2,2.7,0.3,G,G,N,,,,,D,3/6/2021,3
KH,AJH,9/6/2021,SP,VBSP,6/1/2021,AVGE,2,B,1.42,1.5,2.2,0.4,GB,B,N,,,,,D,3/6/2021,2.6
KH,AJH,9/6/2021,SP,VBSP,6/1/2021,AVGE,3,B,2.37,1.9,2.7,0.5,GB,B,N,,,,,D,3/6/2021,3.2
KH,AJH,9/6/2021,SP,VBSP,6/1/2021,AVGE,4,B,2.74,2.2,2.8,0.3,G,G,N,,,,,D,3/6/2021,3.1
KH,AJH,11/6/2021,SP,VBSP,6/1/2021,AVGE,5,H,2.2,1.9,2.8,0.3,G,G,Y,,,,,UD,11/6/2021,3.1
KH,AJH,11/6/2021,SP,VBSP,6/1/2021,AVGE,6,H,3.54,2.2,3,0.3,G,G,Y,,,,,UD,11/6/2021,3.3
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,7,N,1.36,1.5,2.3,0.5,G,G,Y,,,,,D,10/6/2021,2.8
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,8,"N,B",2.1,1.6,2.3,0.4,G,G,Y,,,,,D,10/6/2021,2.7
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,9,N,0.84,1.2,1.8,0.5,G,G,Y,,,,,UD,10/6/2021,2.3
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,10,N,1.12,1.3,2,0.2,G,G,Y,,,,,D,10/6/2021,2.2
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,11,N,2.1,2,2.4,0.1,G,G,Y,,,,,D,10/6/2021,2.5
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,12,P,1.14,1.4,1.9,0.3,G,G,Y,,2 holes,,,D,10/6/2021,2.2
